===== 人体尺度 =====
--p20(印4)--
>> 我国成年人体主要参考尺度见表1-1～表1-8。
>> **表1-1 我国成年人体主要参考尺度（男）**
| 测量项目 | 位数 | 18~60岁 | 18~25岁 | 26~35岁 | 36~60岁 |
| 坐姿眼高 | P1 | 729 | 732 |
|  | P5 | 749 | 753 |
|  | P10 | 761 | 763 |
|  | P50 | 798 | 801 |
|  | P90 | 836 | 840 |
|  | P95 | 847 | 851 |
|  | P99 | 868 | 868 |
| 坐姿肩高 | P1 | 539 | 538 |
|  | P5 | 557 | 557 |
|  | P10 | 566 | 565 |
|  | P50 | 598 | 597 |
|  | P90 | 631 | 631 |
|  | P95 | 641 | 641 |
|  | P99 | 659 | 658 |
| 坐姿肘高 | P1 | 214 | 215 |
|  | P5 | 228 | 227 |
|  | P10 | 235 | 234 |
|  | P50 | 263 | 261 |
|  | P90 | 291 | 289 |
|  | P95 | 298 | 297 |
|  | P99 | 312 | 311 |
| 坐姿大腿厚 | P1 | 103 | 106 |
|  | P5 | 112 | 114 |
|  | P10 | 116 | 117 |
|  | P50 | 130 | 130 |
|  | P90 | 146 | 144 |
|  | P95 | 151 | 149 |
|  | P99 | 160 | 156 |
| 坐姿膝高 | P1 | 441 | 443 |
|  | P5 | 456 | 459 |
|  | P10 | 464 | 468 |
|  | P50 | 493 | 497 |
|  | P90 | 523 | 527 |
|  | P95 | 532 | 535 |
|  | P99 | 549 | 554 |
| 小腿加足高 | P1 | 372 | 375 |
|  | P5 | 383 | 386 |
|  | P10 | 389 | 393 |
|  | P50 | 413 | 417 |
|  | P90 | 439 | 444 |
|  | P95 | 448 | 454 |
|  | P99 | 463 | 468 |
| 坐深 | P1 | 407 | 407 |
|  | P5 | 421 | 423 |
|  | P10 | 429 | 429 |
|  | P50 | 457 | 457 |
|  | P90 | 486 | 486 |
|  | P95 | 494 | 494 |
|  | P99 | 510 | 511 |
| 臀膝距 | P1 | 499 | 500 |
|  | P5 | 515 | 516 |
|  | P10 | 524 | 525 |
|  | P50 | 554 | 554 |
|  | P90 | 585 | 585 |
|  | P95 | 595 | 594 |
|  | P99 | 613 | 615 |
| 坐姿下肢长 | P1 | 892 | 893 |
|  | P5 | 921 | 925 |
|  | P10 | 937 | 939 |
|  | P50 | 992 | 992 |
|  | P90 | 1046 | 1050 |
|  | P95 | 1063 | 1068 |
|  | P99 | 1096 | 1100 |
--p22(印6)--
>> **续表（表1-3 我国成年坐姿人体参考尺度（男）续：26~35岁、36~60岁两组）**
| 测量项目 | 位数 | 26~35岁 | 36~60岁 |
| --- | --- | --- | --- |
| 坐高 | P1 | 839 | 832 |
|  | P5 | 862 | 853 |
|  | P10 | 874 | 865 |
|  | P50 | 911 | 904 |
|  | P90 | 948 | 941 |
|  | P95 | 959 | 952 |
|  | P99 | 983 | 973 |
| 坐姿颈椎点高 | P1 | 600 | 599 |
|  | P5 | 617 | 615 |
|  | P10 | 626 | 625 |
|  | P50 | 659 | 658 |
|  | P90 | 692 | 691 |
|  | P95 | 702 | 700 |
|  | P99 | 722 | 719 |
| 坐姿眼高 | P1 | 733 | 724 |
|  | P5 | 753 | 743 |
|  | P10 | 764 | 756 |
|  | P50 | 801 | 795 |
|  | P90 | 837 | 832 |
|  | P95 | 849 | 841 |
|  | P99 | 873 | 864 |
| 坐姿肩高 | P1 | 539 | 538 |
|  | P5 | 559 | 556 |
|  | P10 | 569 | 564 |
|  | P50 | 600 | 597 |
|  | P90 | 633 | 630 |
|  | P95 | 642 | 639 |
|  | P99 | 660 | 657 |
| 坐姿肘高 | P1 | 217 | 210 |
|  | P5 | 230 | 226 |
|  | P10 | 237 | 234 |
|  | P50 | 264 | 263 |
|  | P90 | 291 | 292 |
|  | P95 | 299 | 299 |
|  | P99 | 313 | 313 |
| 坐姿大腿厚 | P1 | 102 | 102 |
|  | P5 | 111 | 110 |
|  | P10 | 115 | 115 |
