===== 人体尺度 =====
--p20(印4)--
>> 我国成年人体主要参考尺度见表1-1～表1-8。
>> **表1-1 我国成年人体主要参考尺度（男）**
| 测量项目 | 位数 | 18~60岁 | 18~25岁 | 26~35岁 | 36~60岁 |
|  | P90 | 882 | 962 |
|  | P95 | 921 | 998 |
|  | P99 | 993 | 1060 |
| 臀围 | P1 | 792 | 812 |
|  | P5 | 824 | 843 |
|  | P10 | 838 | 858 |
|  | P50 | 900 | 926 |
|  | P90 | 970 | 1001 |
|  | P95 | 992 | 1021 |
|  | P99 | 1030 | 1064 |
>> **表1-7 我国成年立姿人体参考尺度（男）（单位：mm；本页为18~60岁、18~25岁两组）**
| 测量项目 | 位数 | 18~60岁 | 18~25岁 |
| --- | --- | --- | --- |
| 眼高 | P1 | 1436 | 1444 |
|  | P5 | 1474 | 1482 |
|  | P10 | 1495 | 1502 |
|  | P50 | 1568 | 1576 |
|  | P90 | 1643 | 1653 |
|  | P95 | 1664 | 1678 |
|  | P99 | 1705 | 1714 |
| 肩高 | P1 | 1244 | 1245 |
|  | P5 | 1281 | 1285 |
|  | P10 | 1299 | 1300 |
|  | P50 | 1367 | 1372 |
|  | P90 | 1435 | 1442 |
|  | P95 | 1455 | 1464 |
|  | P99 | 1494 | 1507 |
| 肘高 | P1 | 925 | 929 |
|  | P5 | 954 | 957 |
|  | P10 | 968 | 973 |
|  | P50 | 1024 | 1028 |
|  | P90 | 1079 | 1088 |
|  | P95 | 1096 | 1102 |
|  | P99 | 1128 | 1140 |
| 手功能高 | P1 | 656 | 659 |
|  | P5 | 680 | 683 |
|  | P10 | 693 | 696 |
|  | P50 | 741 | 745 |
|  | P90 | 787 | 792 |
|  | P95 | 801 | 808 |
|  | P99 | 828 | 831 |
| 会阴高 | P1 | 701 | 707 |
|  | P5 | 728 | 734 |
|  | P10 | 741 | 749 |
|  | P50 | 790 | 796 |
|  | P90 | 840 | 848 |
|  | P95 | 856 | 864 |
|  | P99 | 887 | 895 |
| 胫骨点高 | P1 | 394 | 397 |
|  | P5 | 409 | 411 |
|  | P10 | 417 | 419 |
|  | P50 | 444 | 446 |
|  | P90 | 472 | 475 |
|  | P95 | 481 | 485 |
|  | P99 | 498 | 500 |
--p26(印10)--
>> **续表（表1-7 我国成年立姿人体参考尺度（男）续：26~35岁、36~60岁两组）**
| 测量项目 | 位数 | 26~35岁 | 36~60岁 |
| --- | --- | --- | --- |
| 眼高 | P1 | 1437 | 1429 |
|  | P5 | 1478 | 1465 |
|  | P10 | 1497 | 1488 |
|  | P50 | 1572 | 1558 |
|  | P90 | 1645 | 1629 |
|  | P95 | 1667 | 1651 |
|  | P99 | 1705 | 1689 |
| 肩高 | P1 | 1244 | 1241 |
|  | P5 | 1283 | 1278 |
|  | P10 | 1303 | 1295 |
|  | P50 | 1369 | 1360 |
|  | P90 | 1438 | 1426 |
|  | P95 | 1456 | 1445 |
|  | P99 | 1496 | 1482 |
| 肘高 | P1 | 925 | 921 |
|  | P5 | 956 | 950 |
|  | P10 | 971 | 963 |
|  | P50 | 1026 | 1019 |
|  | P90 | 1081 | 1072 |
|  | P95 | 1097 | 1087 |
|  | P99 | 1128 | 1119 |
| 手功能高 | P1 | 658 | 651 |
|  | P5 | 683 | 676 |
|  | P10 | 695 | 689 |
|  | P50 | 742 | 736 |
|  | P90 | 789 | 782 |
|  | P95 | 802 | 795 |
|  | P99 | 828 | 818 |
| 会阴高 | P1 | 703 | 700 |
|  | P5 | 728 | 724 |
|  | P10 | 742 | 736 |
|  | P50 | 792 | 784 |
|  | P90 | 841 | 832 |
|  | P95 | 857 | 846 |
|  | P99 | 886 | 875 |
| 胫骨点高 | P1 | 394 | 392 |
|  | P5 | 409 | 407 |
|  | P10 | 417 | 415 |
|  | P50 | 444 | 441 |
|  | P90 | 473 | 469 |
|  | P95 | 481 | 478 |
|  | P99 | 498 | 493 |
>> **表1-8 我国成年立姿人体参考尺度（女）（单位：mm；本页为18~55岁、18~25岁、26~35岁、36~55岁四组）**
| 测量项目 | 位数 | 18~55岁 | 18~25岁 | 26~35岁 | 36~55岁 |
| --- | --- | --- | --- | --- | --- |
| 眼高 | P1 | 1337 | 1341 | 1335 | 1333 |
|  | P5 | 1371 | 1380 | 1371 | 1365 |
|  | P10 | 1388 | 1396 | 1389 | 1380 |
|  | P50 | 1454 | 1463 | 1455 | 1443 |
|  | P90 | 1522 | 1529 | 1524 | 1510 |
|  | P95 | 1541 | 1549 | 1544 | 1530 |
|  | P99 | 1579 | 1588 | 1581 | 1561 |
| 肩高 | P1 | 1166 | 1172 | 1166 | 1163 |
|  | P5 | 1195 | 1199 | 1196 | 1191 |
|  | P10 | 1211 | 1216 | 1212 | 1205 |
|  | P50 | 1271 | 1276 | 1273 | 1265 |
|  | P90 | 1333 | 1336 | 1335 | 1325 |
|  | P95 | 1350 | 1353 | 1352 | 1343 |
|  | P99 | 1385 | 1393 | 1385 | 1376 |
| 肘高 | P1 | 873 | 877 | 873 | 871 |
|  | P5 | 899 | 904 | 900 | 895 |
|  | P10 | 913 | 916 | 913 | 908 |
|  | P50 | 960 | 965 | 961 | 956 |
|  | P90 | 1009 | 1013 | 1010 | 1004 |
|  | P95 | 1023 | 1027 | 1025 | 1018 |
|  | P99 | 1050 | 1060 | 1048 | 1042 |
| 手功能高 | P1 | 630 | 633 | 628 | 628 |
|  | P5 | 650 | 653 | 649 | 646 |
|  | P10 | 662 | 665 | 662 | 660 |
|  | P50 | 704 | 707 | 704 | 700 |
|  | P90 | 746 | 749 | 746 | 742 |
|  | P95 | 757 | 760 | 757 | 753 |
|  | P99 | 778 | 784 | 778 | 775 |
| 会阴高 | P1 | 648 | 653 | 647 | 646 |
|  | P5 | 673 | 680 | 672 | 668 |
|  | P10 | 686 | 694 | 686 | 681 |
|  | P50 | 732 | 738 | 732 | 726 |
|  | P90 | 779 | 785 | 780 | 771 |
|  | P95 | 792 | 797 | 793 | 784 |
|  | P99 | 819 | 827 | 819 | 810 |
| 胫骨点高 | P1 | 363 | 366 | 362 | 363 |
|  | P5 | 377 | 379 | 376 | 375 |
|  | P10 | 384 | 387 | 384 | 382 |
|  | P50 | 410 | 412 | 410 | 407 |
|  | P90 | 437 | 439 | 438 | 433 |
|  | P95 | 444 | 446 | 445 | 441 |
|  | P99 | 459 | 463 | 460 | 456 |
--p28(印12)--
>> 窗台、阳台的高度，家具的尺寸与间距，门的高宽度，踏步的高宽度，楼梯平台、家内净高等室内尺寸，一般均需要根据人体尺度来确定。装修时，一些人体尺度数据的设计用途见表1-9。
>> **表1-9 一些人体尺度数据的设计用途**
| 名称项目 | 数据用途 |
| --- | --- |
| 单腿跪姿取放搁置深度 | 用于装修空间确定单腿跪姿取放物体时，柜内适宜的搁置深度 |
| 单腿跪姿取放舒适高度 | 用于装修空间确定矮柜等搁板或抽屉适宜高度 |
| 单腿跪姿推拉柜前距离 | 用于装修空间限定单腿跪姿推拉抽屉时，柜前最小空间距离 |
| 单腿跪姿推拉舒适高度 | 用于装修空间确定矮柜拉手及低位抽屉等适宜高度 |
| 踞高【疑为"蹲高"，OCR置信度低，照录】 | 用于装修空间限定搁板、上部储藏柜拉手的最大高度 |
| 蹲姿单手取放搁置深度 | 用于装修空间确定蹲姿取放物体时，柜内适宜的搁置深度 |
| 蹲姿单手取放舒适高度 | 用于装修空间确定矮柜的搁板或抽屉拉手等适宜高度 |
| 蹲姿单手推拉舒适高度 | 用于装修空间确定矮柜拉手及低位抽屉等适宜高度 |
| 蹲姿单手推拉舒适深度 | 用于装修空间限定蹲姿单手推拉抽屉时，柜前最小空间距离 |
| 肩高 | 用于限定装修空间人们行走时，肩可能触及靠墙搁板等障碍物的高度 |
| 肩宽 | 用于确定装修空间家具排列时最小通道宽度、椅背宽度与环绕桌子的座椅间距 |
| 肩指点距离 | 用于确定装修空间柜类家具最大水平深度 |
| 立姿单手取放搁置深度 | 用于装修空间确定立姿单手取放物体适宜的搁置深度 |
| 立姿单手取放柜前距离 | 用于装修空间限定直立取物时，柜前等最小空间距离 |
| 立姿单手取放舒适高度 | 用于装修空间确定物体的适宜或悬挂高度 |
| 立姿单手取放最大高度 | 用于装修空间限定物体的最大搁置或悬挂高度 |
| 立姿单手推拉柜前距离 | 用于装修空间限定直立推拉物体时，柜前等最小空间距离 |
| 立姿单手推拉舒适高度 | 用于装修空间确定拉手和搁板等物的适宜高度 |
| 立姿单手推拉最大高度 | 用于装修空间限定拉手与搁板等物的最大高度 |
| 立姿单手托举柜前距离 | 用于装修空间限定托举物体时，柜前等最小空间距离 |
| 立姿单手托举舒适高度 | 用于装修空间确定常用物体的搁置高度 |
--p29(印13)--
>> **续表（表1-9 一些人体尺度数据的设计用途续）**
| 名称项目 | 数据用途 |
| --- | --- |
| 立姿单手托举最大高度 | 用于装修空间限定搁板等物的最大高度 |
| 身高 | 用于限定装修空间头顶上空悬挂家具等障碍物的高度 |
| 臀膝距 | 用于限定装修空间臀部后缘到膝盖前面障碍物的最小水平距离 |
| 小腿加足高 | 用于装修空间确定椅面高度 |
| 胸厚 | 用于装修空间限定储藏柜、台前最小使用空间水平尺寸 |
| 腋高 | 用于装修空间限定如酒吧柜、银柜等高服务台的高度 |
| 中指尖点上举高 | 用于限定上部柜门、抽屉拉手等高度 |
| 肘高 | 用于确定装修空间站立工作时的台面等高度 |
| 坐高 | 用于装修空间限定座椅上空障碍物的最小高度 |
| 坐深 | 用于确定装修空间椅面的深度 |
| 坐姿大腿厚 | 用于装修空间限定椅面到台面底的最小垂距 |
| 坐姿单手取放柜前距离 | 用于装修空间确定单手取物时，柜前等最小空间距离 |
| 坐姿单手推拉柜前距离 | 用于装修空间限定坐姿推拉物体时，柜前等最小空间距离 |
| 坐姿单手推拉舒适高度 | 用于装修空间确定低矮柜门，抽屉等拉手的适宜高度 |
| 坐姿两肘间宽 | 用于装修空间确定座椅扶手的水平间距 |
| 坐姿臀宽 | 用于装修空间确定椅面的最小宽度 |
| 坐姿膝高 | 用于装修空间限定柜台、书桌、餐桌等台底到地面的最小垂距 |
| 坐姿肘高 | 用于装修空间确定座椅扶手最小高度与桌面高度 |
--p30(印14)--
>> 人的最佳视野与视界，在人转动眼睛与转动头部时的能见度是有差异的。人的最佳视野与视界参考数据见表1-10。
>> **表1-10 人的最佳视野与视界参考数据**
| 状态 | 最适宜角度 | 最大角度 |
| --- | --- | --- |
| 只转动眼睛时的状态 | 左右方向的最适宜角度为15° | 左右方向的最大角度为35° |
|  | 上下方向最适宜角度为15° | 向上最大角度为40° |
|  | 上下方向最适宜角度为15° | 向下最大角度为20° |
| 转动头部时的状态 | — | 左右方向的最大角度为60° |
|  | — | 向上最大角度为65° |
|  | — | 向下最大角度为35° |
| 头部与眼睛都转动的状态 | 左右方向最适宜角度为15° | 左右最大角度为90° |
|  | 上下方向最适宜角度为15° | 向上最大角度为90° |
|  | 上下方向最适宜角度为15° | 向下最大角度为70° |
>> 注：图例中头眼同转的左右最大角标注为95°，与表1-10中"左右最大角度为90°"不一致，原书如此，照录。
--p31(印15)--
>> 手最佳操作方向见表1-11。
>> **表1-11 手最佳操作方向**
| 手最佳操作方向 | 解说 |
| --- | --- |
| 外侧向60° | 手外侧向60°操作，属于一只手动作时最轻松、速度最快的运动方向 |
| 双侧向30° | 手双侧向30°操作，属于双手动作时，最轻松、速度最快的运动方向 |
| 双侧向0° | 手双侧向0°操作，属于双手准确，轻松、快速操作的最好方向 |
--p33(印17)--
>> 人际距离与行为特征见表1-12。
>> **表1-12 人际距离与行为特征**
| 类型 | 尺寸数据/cm | 特征 |
| --- | --- | --- |
| 密切距离 | 0~45 | （1）接近相0~15cm，温柔、舒适、亲密、激愤、嗅觉、辐射热等强烈感觉的距离。该距离是在家庭居室、私密空间里会出现这样的人际距离 |
|  |  | （2）远方相15～45cm，可与对方接触握手等 |
| 个体距离 | 45~120 | （1）接近相45～75cm，促膝交谈，仍可以与对方接触等。这是亲近朋友、家庭成员间谈话的距离 |
|  |  | （2）远方相75～120cm，清楚地看清细微表情的交谈等 |
| 社会距离 | 120~360 | （1）接近相120~210cm，社会交往、同事、朋友、熟人、邻居等间日常交谈的距离 |
|  |  | （2）远方相210～360cm，交往不密切的社会距离等。这是在旅馆大堂休息处、小型会客室、洽谈室等地方，会表现出的人际距离 |
--p34(印18)--
>> **续表（表1-12 人际距离与行为特征续）**
| 类型 | 尺寸数据/cm | 特征 |
| --- | --- | --- |
| 公众距离 | >360 | （1）接近相360～750cm，自然语音的讲课、小型报告会等 |
|  |  | （2）远方相>750cm，借助姿势与扩音器的讲演，大型会议室等处会表现出的人际距离 |
>> 人际距离中的嗅觉距离、听觉距离、视觉距离见表1-13。
>> **表1-13 人际距离中的嗅觉距离、听觉距离、视觉距离**
| 类型 | 尺寸数据 | 解说 |
| --- | --- | --- |
| 嗅觉距离 | 1m以内 | 能闻到衣服、头发所发出的较弱的气味 |
|  | 2~3m以内 | 能闻到香水或者较强的气味 |
|  | 3m以外 | 只能够闻到很浓烈的气味 |
| 听觉距离 | 7m以内 | 可以进行一般的交谈 |
|  | 30m以内 | 可以听清楚讲演 |
|  | 超过35m | 能够听见叫喊，但是很难听清楚语言。如果应用扬声器，也能够够一问一答的交流【OCR原文"能够够一问一答的交流"，照录】 |
| 视觉距离 | 1~3m | 可以进行一般的交谈 |
|  | 30m以内 | 能够看清楚一个人的面部特征、发行、年龄等【"发行"疑为"发型"之误排，照录】 |
|  | 70~100m | 可以分辨出个人的性别、大概年龄、行为内容 |
|  | 500~1000m | 根据背景、照明、动感等可以分辨出人群 |
--p35(印19)--
>> 装修室内的动作空间是以人与家具、人与墙壁、人与人间的关关系来决定的【OCR原文"人与人间的关关系"，疑衍一字，照录】。凡是与人的使用有关的设施，其操作尺寸要根据人的身体尺寸来确定。有关空间动作尺寸与操作尺寸见表1-14。
>> **表1-14 有关空间动作尺寸与操作尺寸**
| 尺寸数据 | 解说 |
| --- | --- |
| 120cm | 人在室内行走时，两人正面对行时则需120cm |
| 3cm | 锅底一般离火口3cm，这样可以最大限度地利用火力 |
| 40~60cm | 厨房平面操作区域的进深尺度以40～60cm为宜 |
| 45cm | 人在室内行走时，一个人横向侧行需要45cm的空间，正面行走需要60cm |
| 50cm | 人坐在餐桌前进餐时，椅背到桌边的距离大约为50cm |
| 55cm以上 | 吊柜与操作台间的距离，一般设计为55cm以上 |
